"id","human_readable_id","title","type","description","text_unit_ids","frequency","degree","x","y"
"6fccf229-dc0e-4748-aedc-c61a33cf94b2",0,"中医骨伤科学","ORGANIZATION","

《中医骨伤科学》是一门研究防治骨关节及其周围筋肉损伤与疾病的学科，属于中医学的重要组成部分，具有丰富的学术内容和卓著的医疗成就。该学科相关书籍由多位专家编写，是一本供中医学、中西医临床医学、针灸推拿学、中医养生学、中医康复学等专业使用的教材，也是新世纪第五版医学相关课程的重要内容之一。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3'
 'f1124fed3d8911e4ce32c3a263cbb1d8c192ee8d5a9d8bb4764faa110d3e91ea00f937141fa956acbf6a527bed829d3a9b26e3bbec6ce5936d374d851f561fc2'
 '718b37f401231f881446396e1aab16029771c80b777b49083d3fa5eb2e399c5891a210690594dff3549e37a742acdb43149360f614c103c14be2fbab394656d5'
 'b730d4c66f44594de18a8fd070190bff1fc8524ce34b524be04ce305b5736415bc2ca227ebc64201efadbbc7ccd7d1d6e392536bceb5d1df15b1bc9fed738bac'
 '6fe888654d3f41d82ded9a4112495827b64a356e61bb22f68c24818f9b0ec69bfde5d98085435a178e2982e1f01fc7907367fbb253406a99b7348338d52e139a'
 '68fafd00afe9a4b8f167cc0ee2807f456a732f9e57f482be46826f4a0fcfe3df87a1f27a8c6f924dbc4cb6c533652ece4711078c881dbc1f4528384e0468c830']",7,62,0.0,0.0
"28a49b8d-4a3b-4f73-85cf-f1d6d6c15fc3",1,"黄桂成","PERSON","

黄桂成是《中医正骨学》和《中医骨伤科学》的作者之一，并担任《中医骨伤科学☆》及《中医骨伤科学》新世纪第五版的主编，该版本由南京中医药大学出版。他同时也与南京中医药大学有关联，是该校的主编。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '2752f08fbf94d456ac36e0a690fd3322b4fffb2a893f03f63a1102ca30286ba17bae5ec7e50e910e30198037a43bddd7d2e6745109b35c8f893f70ca5a971dd3'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3'
 'b730d4c66f44594de18a8fd070190bff1fc8524ce34b524be04ce305b5736415bc2ca227ebc64201efadbbc7ccd7d1d6e392536bceb5d1df15b1bc9fed738bac'
 '6fe888654d3f41d82ded9a4112495827b64a356e61bb22f68c24818f9b0ec69bfde5d98085435a178e2982e1f01fc7907367fbb253406a99b7348338d52e139a'
 'dd0456790b275ec5af635627c9808cb49c03aca81dea394a75dcde24366908aa8efec329771b3a6c06047f8923b6fd5e7c751db5527e8c37f9533fe77c88e46c']",6,9,0.0,0.0
"32af9b78-2d1a-43da-a899-84d01246f0d9",2,"王拥军","PERSON","

王拥军是上海中医药大学的人员，担任《中医骨伤科学》新世纪第五版的主编，并参与编写了教材的第八章。此外，他还是《石氏伤科施杞临证经验集萃》的作者。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '2752f08fbf94d456ac36e0a690fd3322b4fffb2a893f03f63a1102ca30286ba17bae5ec7e50e910e30198037a43bddd7d2e6745109b35c8f893f70ca5a971dd3'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3'
 '6fe888654d3f41d82ded9a4112495827b64a356e61bb22f68c24818f9b0ec69bfde5d98085435a178e2982e1f01fc7907367fbb253406a99b7348338d52e139a'
 'dd0456790b275ec5af635627c9808cb49c03aca81dea394a75dcde24366908aa8efec329771b3a6c06047f8923b6fd5e7c751db5527e8c37f9533fe77c88e46c']",5,5,0.0,0.0
"259ea33d-42a9-4182-aa8a-444536e814c6",3,"中国中医药出版社","ORGANIZATION","

中国中医药出版社是位于北京经济技术开发区的出版机构，负责出版《中医筋伤学》以及《中医骨伤科学》新世纪第五版等教材，并参与全国中医药行业高等教育教材的建设工作，同时支持相关教材的编写。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '17669d0b61a926d3a14589f84b7a30f91a92c72b8daa95141a24a8d9a34bede308ab04bdad9a1176bdfd52e8bee128e2164a94bda6cad30326e3cb67800432c2'
 'f1124fed3d8911e4ce32c3a263cbb1d8c192ee8d5a9d8bb4764faa110d3e91ea00f937141fa956acbf6a527bed829d3a9b26e3bbec6ce5936d374d851f561fc2'
 '6fe888654d3f41d82ded9a4112495827b64a356e61bb22f68c24818f9b0ec69bfde5d98085435a178e2982e1f01fc7907367fbb253406a99b7348338d52e139a']",4,6,0.0,0.0
"abda915f-775a-4816-be65-f8a583ab5451",4,"医开讲","ORGANIZATION","医开讲是全国中医药行业教育云平台，提供电子教材、PPT课件、视频等数字化资源",['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'],1,3,0.0,0.0
"bdab144c-5a99-472b-9385-63ecc516674a",5,"医开讲APP","EQUIPMENT","医开讲APP是用于访问《中医骨伤科学》相关数字化资源的应用程序",['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'],1,0,"",""
"331f0f3b-2cc1-46e8-a0c4-ff807a965142",6,"医开讲网站","EQUIPMENT","医开讲网站是用于访问《中医骨伤科学》相关数字化资源的在线平台，网址为 www.e-lesson.cn",['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'],1,1,0.0,0.0
"4388e99d-000f-47e6-a0b5-d6b3ca0c0913",7,"南京中医药大学","ORGANIZATION","

南京中医药大学是张建斌、徐建云、徐桂华、柏亚妹、孙志岭、潘涛、刘萍（《科研思路与方法》主编）、陈涤平和黄桂成的所在单位或所属单位，同时也是周仲瑛任职的大学以及谷魏、唐德才、程海波、陈仁寿的主编单位。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '2752f08fbf94d456ac36e0a690fd3322b4fffb2a893f03f63a1102ca30286ba17bae5ec7e50e910e30198037a43bddd7d2e6745109b35c8f893f70ca5a971dd3'
 'a1b920721154e011254a303e76239382348a7bcb363c24ef987d8ea8792e0f18fe7f4d5fc9b7b877ccbffab179ddc7959b18242de53fbd7b700f9f6ca35d751b'
 'cc5e55211ca7ce1f0673de419005153121af6b8aba1c3d40fb60e3a5e42249f7df5b8d7bb371c021f7da5616b9e51135523cd921b7865dea14a23d2c4679da8b'
 '1b0980b910b070b0a8dee3003823c89da350d018625a13a915734ad60f47132ad5cf38dbe3330fae55d9f153f8194a08a9c2f2fe2a017fe7fa4bd70e48b0b6d0'
 'ff219bf0d600e4a2c370167f1a16b03b60f916a2716459e314ea7cdc470ad8e0d87f58d1a484432ad3d0d2651f090c4640cf35ef8d6f9c05ab118fd2b61da435'
 '0f9e30fd4378caa59e727d2f74b22c18ab5881f55932ae4b1b7a7636428a62b821a2de9f8dcb184999e37de87a4b32274cc5f3d614041b70be8b56af36bc8b21'
 '1934372df51bf302460e7715e3eb4267033f9a9cbaaadae2150497972799a8dbe433b825dcb850cc0897947fe15066ef0537e91242afda4e960b9f007e985469'
 'c89dfa48d6e632b14681bab1de457cb380ac3618e62007b5925ca6a67f2c17f6305ec996abd46a63136f01f2405387fdb78622b106a4887cd312aea1ef4a3e10'
 'a976f41dbc394867aaf7b07dde88675902837878dfb74eeeb632c7ead831489b2ff3b286ea568e0d3c7f7295b641b05e3f07947e004704d7abc7c54d0ef081c7'
 '81f242629cec6e16f384064fb344314cbee8169c0588c017de1e73ec760a45fad6fcd2633444f080dfe6f4c3a73782daf345137bfaa4c647fcc51bb6f24f317c']",11,14,0.0,0.0
"56e8eade-2f57-4c8f-ab5f-9a6bd4920e33",8,"上海中医药大学","ORGANIZATION","

上海中医药大学是《中药学☆》主编所在单位之一，也是传统体育主编吴志坤的所在单位。该校还是卢根娣、陆静波、沈雪勇、王拥军、詹红生和邵水金的所在单位。此外，张彤和邵建华的主编单位也包括上海中医药大学，而徐建光则任职于该校。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '2752f08fbf94d456ac36e0a690fd3322b4fffb2a893f03f63a1102ca30286ba17bae5ec7e50e910e30198037a43bddd7d2e6745109b35c8f893f70ca5a971dd3'
 'a1b920721154e011254a303e76239382348a7bcb363c24ef987d8ea8792e0f18fe7f4d5fc9b7b877ccbffab179ddc7959b18242de53fbd7b700f9f6ca35d751b'
 'dd0456790b275ec5af635627c9808cb49c03aca81dea394a75dcde24366908aa8efec329771b3a6c06047f8923b6fd5e7c751db5527e8c37f9533fe77c88e46c'
 'cc5e55211ca7ce1f0673de419005153121af6b8aba1c3d40fb60e3a5e42249f7df5b8d7bb371c021f7da5616b9e51135523cd921b7865dea14a23d2c4679da8b'
 '1b0980b910b070b0a8dee3003823c89da350d018625a13a915734ad60f47132ad5cf38dbe3330fae55d9f153f8194a08a9c2f2fe2a017fe7fa4bd70e48b0b6d0'
 'ff219bf0d600e4a2c370167f1a16b03b60f916a2716459e314ea7cdc470ad8e0d87f58d1a484432ad3d0d2651f090c4640cf35ef8d6f9c05ab118fd2b61da435'
 '0f9e30fd4378caa59e727d2f74b22c18ab5881f55932ae4b1b7a7636428a62b821a2de9f8dcb184999e37de87a4b32274cc5f3d614041b70be8b56af36bc8b21'
 'c89dfa48d6e632b14681bab1de457cb380ac3618e62007b5925ca6a67f2c17f6305ec996abd46a63136f01f2405387fdb78622b106a4887cd312aea1ef4a3e10'
 'a976f41dbc394867aaf7b07dde88675902837878dfb74eeeb632c7ead831489b2ff3b286ea568e0d3c7f7295b641b05e3f07947e004704d7abc7c54d0ef081c7']",10,9,0.0,0.0
"624d22a1-fafd-4cc3-82d4-39cefe43342e",9,"浙江中医药大学","ORGANIZATION","

浙江中医药大学是周运峰、童培建、裘秀月、沈翠珍、许茂盛和马小琴的所在单位，也是陈忠任职的大学。","['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '2752f08fbf94d456ac36e0a690fd3322b4fffb2a893f03f63a1102ca30286ba17bae5ec7e50e910e30198037a43bddd7d2e6745109b35c8f893f70ca5a971dd3'
 'a1b920721154e011254a303e76239382348a7bcb363c24ef987d8ea8792e0f18fe7f4d5fc9b7b877ccbffab179ddc7959b18242de53fbd7b700f9f6ca35d751b'
 'cc5e55211ca7ce1f0673de419005153121af6b8aba1c3d40fb60e3a5e42249f7df5b8d7bb371c021f7da5616b9e51135523cd921b7865dea14a23d2c4679da8b'
 '1b0980b910b070b0a8dee3003823c89da350d018625a13a915734ad60f47132ad5cf38dbe3330fae55d9f153f8194a08a9c2f2fe2a017fe7fa4bd70e48b0b6d0'
 '1934372df51bf302460e7715e3eb4267033f9a9cbaaadae2150497972799a8dbe433b825dcb850cc0897947fe15066ef0537e91242afda4e960b9f007e985469'
 'c89dfa48d6e632b14681bab1de457cb380ac3618e62007b5925ca6a67f2c17f6305ec996abd46a63136f01f2405387fdb78622b106a4887cd312aea1ef4a3e10']",7,7,0.0,0.0
