"id","human_readable_id","source","target","description","weight","combined_degree","text_unit_ids"
"0d6df427-15a9-46a7-afb5-6a07a0c40a40",0,"中医骨伤科学","黄桂成","

黄桂成是《中医骨伤科学》的作者，并担任了新世纪第五版教材的主编，同时他参与了中医骨伤科学教材的编写工作。",23.0,71,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3'
 '6fe888654d3f41d82ded9a4112495827b64a356e61bb22f68c24818f9b0ec69bfde5d98085435a178e2982e1f01fc7907367fbb253406a99b7348338d52e139a']"
"ff36c645-86b1-4783-841e-336fd21b326f",1,"中医骨伤科学","王拥军","

王拥军是《中医骨伤科学》新世纪第五版的主编，并参与了中医骨伤科学教材的编写工作。",15.0,67,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3']"
"a819a466-76d1-4e59-8088-ce0eac7cd91b",2,"中医骨伤科学","中国中医药出版社","

中国中医药出版社是《中医骨伤科学》新世纪第五版的出版单位，并支持了中医骨伤科学教材的编写。",16.0,68,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'f1124fed3d8911e4ce32c3a263cbb1d8c192ee8d5a9d8bb4764faa110d3e91ea00f937141fa956acbf6a527bed829d3a9b26e3bbec6ce5936d374d851f561fc2']"
"d79162d6-9777-440e-84ea-44db69c24809",3,"中医骨伤科学","医开讲","医开讲是《中医骨伤科学》相关数字化资源的发布平台",8.0,65,['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d']
"dded2018-a3e4-4d85-85b7-ede46a0e71d9",4,"中医骨伤科学","医开讲网站","医开讲网站是《中医骨伤科学》相关数字化资源的访问平台",1.0,63,['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d']
"9d886fe7-d9eb-4b65-b65d-db48d654969f",5,"中医骨伤科学","童培建","童培建是《中医骨伤科学》新世纪第五版的副主编",9.0,65,['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d']
"43a9c3c3-41e8-4e92-b543-e311b71b96f4",6,"中医骨伤科学","王平","

王平参与编写了《中医骨伤科学》教材，并担任了新世纪第五版的副主编。",15.0,66,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3']"
"6801bc98-200e-4a6f-96a3-f663c3c405bb",7,"中医骨伤科学","毕荣修","

毕荣修是《中医骨伤科学》新世纪第五版的副主编，并参与了该教材的编写工作。",15.0,65,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3']"
"6f925368-b23d-49bc-9e9a-02c0062814a1",8,"中医骨伤科学","卢敏","

卢敏是《中医骨伤科学》新世纪第五版的副主编，并参与了该教材的编写工作。",15.0,64,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 'ed5ab8ad12e2a48d24a763d86b1f81cf4b6cae014bedc92a71ba7463993ac8ad798238baeea3c27492b84bd1add7dcc94601735e357a27308e7437426e305bb3']"
"48458561-992e-4790-99c3-e00b40ae75a0",9,"黄桂成","南京中医药大学","

黄桂成是南京中医药大学的成员，并担任该校的主编职务。",16.0,23,"['2a036ceccd7e0f28ab7c77529c67db3b5af58b609c530e8bc8e01ffcab202eb35704563a821d86bc6cbd6d20115c82bd4d3b63533bf54a9e6b4b9d0152fb6c2d'
 '2752f08fbf94d456ac36e0a690fd3322b4fffb2a893f03f63a1102ca30286ba17bae5ec7e50e910e30198037a43bddd7d2e6745109b35c8f893f70ca5a971dd3']"
